chrom,start,end,foxa2_normal_like_atac,foxa2_abnormal_like_atac,delta_abnormal_minus_normal,absolute_delta,bin_label
chr1,0,500000,1.8153211805555556,0.0,-1.8153211805555556,1.8153211805555556,chr1:0-500000
chr1,500000,1000000,25.149414214218567,40.22702112208764,15.077606907869075,15.077606907869075,chr1:500000-1000000
chr1,1000000,1500000,48.315984079024204,57.74326920397926,9.427285124955056,9.427285124955056,chr1:1000000-1500000
chr1,1500000,2000000,53.960866362760214,48.61860579788455,-5.342260564875666,5.342260564875666,chr1:1500000-2000000
chr1,2000000,2500000,47.73244741780026,52.83044508253436,5.097997664734102,5.097997664734102,chr1:2000000-2500000
chr1,2500000,3000000,32.09261028235398,42.77605916142635,10.683448879072373,10.683448879072373,chr1:2500000-3000000
chr1,3000000,3500000,11.107858042859139,18.312004667277467,7.204146624418328,7.204146624418328,chr1:3000000-3500000
chr1,3500000,4000000,31.73400200783036,35.91464422163866,4.1806422138083015,4.1806422138083015,chr1:3500000-4000000
chr1,4000000,4500000,11.853998219247252,12.179808894646564,0.3258106753993122,0.3258106753993122,chr1:4000000-4500000
chr1,4500000,5000000,1.8680198539167052,0.7159424601841214,-1.1520773937325837,1.1520773937325837,chr1:4500000-5000000
chr1,5000000,5500000,1.2732696373759143,0.9818575065633468,-0.29141213081256745,0.29141213081256745,chr1:5000000-5500000
chr1,5500000,6000000,3.755409612318201,1.9692121658981074,-1.7861974464200934,1.7861974464200934,chr1:5500000-6000000
chr1,6000000,6500000,27.251880969707415,26.591970612860468,-0.6599103568469467,0.6599103568469467,chr1:6000000-6500000
chr1,6500000,7000000,48.397240619457136,64.74358845341173,16.346347833954596,16.346347833954596,chr1:6500000-7000000
chr1,7000000,7500000,22.38964004353708,15.480652133279891,-6.90898791025719,6.90898791025719,chr1:7000000-7500000
chr1,7500000,8000000,44.43767173141262,24.2572795519937,-20.18039217941892,20.18039217941892,chr1:7500000-8000000
chr1,8000000,8500000,49.25137691295664,75.73902094154526,26.487644028588626,26.487644028588626,chr1:8000000-8500000
chr1,8500000,9000000,23.41624954057218,24.25329108946966,0.8370415488974778,0.8370415488974778,chr1:8500000-9000000
chr1,9000000,9500000,77.96105935663678,81.64063356304601,3.679574206409228,3.679574206409228,chr1:9000000-9500000
chr1,9500000,10000000,41.58072020817913,26.822105021616473,-14.758615186562658,14.758615186562658,chr1:9500000-10000000
chr1,10000000,10500000,27.139303489414534,31.91312180528132,4.773818315866787,4.773818315866787,chr1:10000000-10500000
chr1,10500000,11000000,18.68046264444768,16.50116668435635,-2.1792959600913306,2.1792959600913306,chr1:10500000-11000000
chr1,11000000,11500000,27.87564218121141,29.91835016191376,2.0427079807023496,2.0427079807023496,chr1:11000000-11500000
